keyword,category,is_age_proxy,is_control,is_movie,is_viral,is_platform_event,platform_driven,has_persistence_reason
Aegyo,age_proxy,1,0,0,0,0,0,1
Bias wrecker,age_proxy,1,0,0,0,0,0,1
PLUR,age_proxy,1,0,0,0,0,0,1
Kandi,age_proxy,1,0,0,0,0,0,1
Kiki,age_proxy,1,0,0,0,0,0,1
Gacha,age_proxy,1,0,0,0,0,0,1
Dark academia,age_proxy,1,0,0,0,0,0,1
Cottagecore,age_proxy,1,0,0,0,0,0,1
Vaporwave,age_proxy,1,0,0,0,0,0,1
OTP,age_proxy,1,0,0,0,0,0,1
Headcanon,age_proxy,1,0,0,0,0,0,1
Brony,age_proxy,1,0,0,0,0,0,1
Scene kid,age_proxy,1,0,0,0,0,0,1
Isekai,age_proxy,1,0,0,0,0,0,1
Shonen,age_proxy,1,0,0,0,0,0,1
Senpai,age_proxy,1,0,0,0,0,0,1
Tsundere,age_proxy,1,0,0,0,0,0,1
Yandere,age_proxy,1,0,0,0,0,0,1
Chibi,age_proxy,1,0,0,0,0,0,1
Best girl,age_proxy,1,0,0,0,0,0,1
Fursona,age_proxy,1,0,0,0,0,0,1
Cosplay,age_proxy,1,0,0,0,0,0,1
Werk,age_proxy,1,0,0,0,0,0,1
